state,state_abr,title,party,first_last_,climate_denier,display_on_default,quote_text,quote_reference,quote_reference_url,total_career_contributions
West Virginia,wv,Representative,Republican,Alex Mooney,TRUE,FALSE,"While covering a 2014 candidate forum in West Virginia, ThinkProgress reported: ""Mooney and Casey, however, also openly questioned whether climate change was primarily caused by humans, using the increasingly popular excuse that they're not qualified to know. Mooney said that he didn't believe that scientists had yet come to a consensus around the issue, but said the debate belongs 'in the climate change community.'""","ThinkProgress, 7/25/14",https://thinkprogress.org/in-west-virginia-congressional-race-both-candidates-think-climate-change-is-not-our-problem-a1759b9e2df5/,"$181,573"
West Virginia,wv,Representative,Republican,David McKinley,TRUE,FALSE,"As reported by E&E News, while on an energy policy panel, Rep. McKinley said, ""I think only 4 percent of the CO2 emissions are anthropogenic. Ninety-six percent is naturally occurring.""","E&E News, 4/22/16",https://www.eenews.net/eedaily/stories/1060036074,"$835,704"
Wisconsin,wi,Representative,Republican,Glenn Grothman,TRUE,FALSE,"In a town hall, Rep. Grothman said: ""I don't think the global temperatures have gone up very much over the last dozen or so years; I think if you look over a period of history, there are cold years and warm years and cold decades and warm decades and cold centuries and warm centuries ... Now, we're in a situation right now where I don't think we've had any horrible things happen ... it seems to me that whenever something bad happens, they blame climate change. I do think, over time, we have droughts, all kinds of good things, bad things. I don't think we have enough information to spend billions or trillions of dollars.""","YouTube, 9/5/17",https://www.youtube.com/watch?v=0SYUylC0whs,"$77,900"
Wisconsin,wi,Representative,Republican,Jim Sensenbrenner,TRUE,FALSE,"In a town hall, Rep. Sensenbrenner said, ""I think there is a man-made impact on climate change; there is a scientific consensus that is the case, but there is no scientific consensus on how much human action impacts the climate.""","Milwaukee Journal Sentinel, 3/3/17",https://www.jsonline.com/story/news/local/sussex/2017/03/03/making-sense-washington-congressmans-town-hall-events-sussex-lannon-get-contentious/98694806/,"$100,450"
Wisconsin,wi,Representative,Republican,Sean P. Duffy,TRUE,FALSE,"Rep. Duffy once tweeted in response to a statement from President Obama: ""POTUS says 2014 warmest year on record...please tell that to the Wisconsinites with empty propane tanks. #AlwaysSunnyOnTheGolfCourse""","Twitter, 1/20/15",https://twitter.com/RepSeanDuffy/status/557734814569480193,"$204,845"
Wyoming,wy,Representative,Republican,Liz Cheney,TRUE,FALSE,"On KOWB radio show, Rep. Cheney said, “I think that [the federal government’s] assertions about climate change are based on junk science.""","KOWB, 4/8/16",http://kowb1290.com/cheney-climate-change-assertions-based-on-junk-science/,"$283,025"
Alabama,al,Senator,Republican,Richard Shelby,TRUE,FALSE,"In response to a letter from Weld for Birmingham contributor Tom Gordon, Sen. Shelby responded: “Important scientific research is ongoing, and there are still many questions that must be answered before we take steps to address this issue. For example, is the climate change phenomenon cyclical or is it a function of man-made pollutants, or both? I believe the science must be firmly grounded before we take any actions that could seriously cripple many sectors of our economy.”","Weld for Birmingham, 4/29/15",http://weldbham.com/blog/2015/04/29/richard-shelby-speaks-on-climate-change/,"$606,448"
Alaska,ak,Senator,Republican,Dan Sullivan,TRUE,FALSE,"In a 2014 interview with Fairbanks Daily News-Miner, Sen. Sullivan said: “With 7 billion humans on earth, there is likely some impact on nature. The last few years clearly show, though, that there is no concrete scientific consensus on the extent to which humans contribute to climate change.” More recently, he has made comments about ""seeing the effects of a changing climate"" in Alaska; however, his office did not respond to a request for comment from CAP Action, which asked Sen. Sullivan what he believes is causing these changes.","Fairbanks Daily News-Miner, 8/18/14; Fairbanks Daily News-Miner, 6/1/17",http://www.newsminer.com/u-s-senate-dan-sullivan/article_6f0a7018-270f-11e4-8656-0017a43b2370.html;  http://www.newsminer.com/news/alaska_news/alaska-delegation-has-mixed-reaction-to-trump-s-paris-pullout/article_ef07cf50-473b-11e7-80bd-a72b1c3136a4.html,"$558,299"
Arkansas,ar,Senator,Republican,John Boozman,TRUE,FALSE,"As reported by The Guardian, Sen. Boozman has stated: “'Well I think that we’ve got perhaps climate change going on. The question is what’s causing it. Is man causing it, or, you know, is this a cycle that happens throughout the years, throughout the ages. And you can look back some of the previous times when there was no industrialization, you had these different ages, ice ages, and things warming and things. That’s the question."" More recently, Boozman said in a Senate hearing: ""Now I’m not a scientist but I’m an optometrist, and I spent much of my life working with the scientific community. I was a zoology major. And I’ve said before that there’s nothing scientific about discrediting people who present conflicting evidence and ask reasonable questions.""","The Guardian, 7/29/13; Arkansas Times, 6/21/14",https://www.theguardian.com/environment/2013/jul/29/climate-committee-republicans; http://www.arktimes.com/ArkansasBlog/archives/2014/06/21/daily-show-ridicules-john-boozman-on-climate-change,"$316,077"
Arkansas,ar,Senator,Republican,Tom Cotton,TRUE,FALSE,"The Arkansas Times reported that at an energy panel in 2014, Sen. Cotton said: “The simple fact is that for the last 16 years the earth’s temperature has not warmed. That’s the facts...Now, there’s no doubt that the temperature has risen over the past 150, 200 years. It’s most likely that human activity has contributed to some of that.”","Arkansas Times, 9/25/14",http://www.arktimes.com/ArkansasBlog/archives/2014/09/25/cotton-on-climate-change-yes-its-probably-real-but-let-the-market-handle-it,"$752,330"
